Município,Densidade demografica 2021,Estabelecimentos/10k_habitantes,Óbitos/10k_habitantes,Vacinados/10k_habitantes
Água Branca,43.28,10.86,14.81,7029.56
Anadia,94.06,6.85,21.13,6223.80
Arapiraca,677.87,14.60,23.90,6220.42
Atalaia,89.15,6.31,11.78,5240.01
Barra de Santo Antônio,123.33,7.41,20.37,5033.64
Barra de São Miguel,113.59,9.49,11.86,6733.46
Batalha,58.38,9.76,12.47,6338.39
Belém,63.43,11.83,21.30,7688.12
Belo Monte,20.1,13.40,11.91,7513.77
Boca da Mata,142.12,8.39,18.23,5907.98
Branquinha,62.04,10.55,15.35,5703.05
Cacimbinhas,38.77,10.99,10.99,6456.96
Cajueiro,226.77,7.01,15.42,5233.91
Campestre,105.78,7.17,8.61,5411.65
Campo Alegre,185.46,5.00,14.48,4125.39
Campo Grande,56.28,9.40,11.49,5130.53
Canapi,29.39,6.77,7.34,6765.45
Capela,64.11,10.06,11.83,5738.45
Carneiros,93.94,7.32,11.50,5711.75
Chã Preta,46.32,10.94,15.05,6754.21
Coité do Nóia,119.36,16.05,20.77,7607.14
Colônia Leopoldina,105.49,8.66,9.57,4146.80
Coqueiro Seco,148.51,10.20,15.30,6747.70
Coruripe,64.21,6.59,10.58,6197.55
Craíbas,87.48,7.38,13.53,6512.13
Delmiro Gouveia,83.53,11.81,27.43,5206.19
Dois Riachos,78.09,8.14,7.23,5843.20
Estrela de Alagoas,70.19,7.65,10.38,5968.64
Feira Grande,126.16,8.56,9.91,7040.83
Feliz Deserto,43.64,6.25,10.41,6127.42
Flexeiras,38.42,7.80,15.60,5083.83
Girau do Ponciano,80.92,6.26,12.52,6035.04
Ibateguara,58.94,6.40,13.43,5138.45
Igaci,76.56,7.42,12.89,6954.99
Igreja Nova,57.84,8.92,8.92,7098.09
Inhapi,49.45,7.07,9.24,5644.64
Jacaré dos Homens,34.80,19.29,9.64,8437.80
Jacuípe,33.50,4.29,5.72,5208.81
Japaratinga,98.93,7.11,18.95,5203.69
Jaramataia,54.56,8.69,6.96,6344.98
Jequiá da Praia,34.39,9.57,11.31,5911.27
Joaquim Gomes,81.05,6.62,11.17,4219.80
Jundiá,46.39,9.71,12.14,6064.58
Junqueiro,99.77,14.57,20.23,4035.04
Lagoa da Canoa,211.57,12.43,14.13,7286.91
Limoeiro de Anadia,93.48,10.38,12.11,5093.76
Maceió,2025.44,15.65,29.14,7063.17
Major Isidoro,45.00,6.53,12.05,6081.92
Maragogi,99.80,1.20,1.20,794.88
Maravilha,26.63,27.12,57.63,20537.85
Marechal Deodoro,154.99,2.27,3.41,1296.36
Maribondo,72.86,32.00,95.25,27512.76
Mar Vermelho,37.87,46.06,51.81,25967.18
Mata Grande,27.55,4.37,10.32,4982.14
Matriz de Camaragibe,103.43,7.72,18.27,4925.49
Messias,159.44,6.59,15.93,5686.50
Minador do Negrão,31.74,11.29,18.81,7548.45
Monteirópolis,82.80,13.95,19.52,6545.81
Murici,68.01,5.63,17.94,5670.11
Novo Lino,59.56,7.79,10.13,3709.59
Olho d'Água das Flores,113.17,6.45,4.15,6518.67
Olho d'Água do Casado,29.01,5.26,44.18,6013.46
Olho d'Água Grande,43.87,15.59,11.69,5429.57
Olivença,66.63,6.85,14.55,5898.47
Ouro Branco,58.88,7.78,9.50,6938.56
Palestina,132.53,9.88,7.90,6739.77
Palmeira dos Índios,162.87,12.25,23.01,6488.05
Pão de Açúcar,35.29,10.70,4.11,6418.32
Pariconha,41.40,16.12,26.55,7631.33
Paripueira,145.32,8.16,17.06,6970.48
Passo de Camaragibe,60.77,9.17,10.48,5357.56
Paulo Jacinto,63.79,9.26,119.11,6553.73
Penedo,92.97,14.84,3.59,6094.21
Piaçabuçu,73.32,10.07,34.70,6262.03
Pilar,136.01,6.23,0.57,6924.95
Pindoba,24.79,13.78,93.01,5494.32
Piranhas,62.68,11.85,19.35,6688.91
Poço das Trincheiras,50.82,11.07,14.54,4999.65
Porto Calvo,87.26,9.15,5.49,5154.59
Porto de Pedras,29.63,13.13,15.75,5459.44
Porto Real do Colégio,85.47,8.43,15.38,6999.70
Quebrangulo,35.02,10.71,13.39,7455.81
Rio Largo,257.51,6.21,24.45,7402.92
Roteiro,51.46,9.04,21.10,6590.29
Santa Luzia do Norte,254.50,9.53,12.25,7155.50
Santana do Ipanema,109.41,11.90,22.75,6445.21
Santana do Mundaú,45.82,9.40,17.86,7994.74
São Brás,50.18,14.33,57.33,6789.45
São José da Laje,93.78,7.90,5.40,5806.18
São José da Tapera,65.96,6.47,1.23,6387.47
São Luís do Quitunde,87.66,6.60,9.19,4661.02
São Miguel dos Campos,185.68,7.70,6.90,5615.45
São Miguel dos Milagres,105.21,7.43,33.44,6188.53
São Sebastião,109.31,12.20,31.08,6851.03
Satuba,340.26,10.68,11.39,6894.32
Senador Rui Palmeira,40.62,5.76,28.07,5632.33
Tanque d'Arca,49.07,8.18,19.62,7496.32
Taquarana,131.06,11.90,13.39,7151.57
Teotônio Vilela,148.95,10.32,16.15,6042.63
Traipu,40.98,6.09,9.67,5621.11
União dos Palmares,156.91,7.88,15.16,5728.36
Viçosa,69.74,9.35,15.98,6227.64
