epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202139,2021-09-30,572,AL,,27,state,238210,7107.47259,93,6213,4,0.0261,3351543,False,False
202139,2021-09-29,571,AL,,27,state,238117,7104.69775,77,6209,4,0.0261,3351543,False,False
202139,2021-09-28,570,AL,,27,state,238040,7102.4003,41,6205,4,0.0261,3351543,False,False
202139,2021-09-27,569,AL,,27,state,237999,7101.17698,25,6201,4,0.0261,3351543,False,False
202139,2021-09-26,568,AL,,27,state,237974,7100.43106,30,6197,4,0.026,3351543,False,False
202138,2021-09-25,567,AL,,27,state,237944,7099.53595,56,6193,4,0.026,3351543,False,False
202138,2021-09-24,566,AL,,27,state,237888,7097.86507,46,6189,4,0.026,3351543,False,False
202138,2021-09-23,565,AL,,27,state,237842,7096.49257,58,6185,4,0.026,3351543,False,False
202138,2021-09-22,564,AL,,27,state,237784,7094.76202,82,6181,4,0.026,3351543,False,False
202138,2021-09-21,563,AL,,27,state,237702,7092.31539,29,6177,4,0.026,3351543,False,False
202138,2021-09-20,562,AL,,27,state,237673,7091.45012,10,6173,4,0.026,3351543,False,False
202138,2021-09-19,561,AL,,27,state,237663,7091.15175,42,6169,4,0.026,3351543,False,False
202137,2021-09-18,560,AL,,27,state,237621,7089.89859,142,6165,4,0.0259,3351543,False,False
202137,2021-09-17,559,AL,,27,state,237479,7085.66174,26,6161,5,0.0259,3351543,False,False
202137,2021-09-16,558,AL,,27,state,237453,7084.88598,103,6156,5,0.0259,3351543,False,False
202137,2021-09-15,557,AL,,27,state,237350,7081.81277,63,6151,5,0.0259,3351543,False,False
202137,2021-09-14,556,AL,,27,state,237287,7079.93303,78,6146,5,0.0259,3351543,False,False
202137,2021-09-13,555,AL,,27,state,237209,7077.60575,27,6141,5,0.0259,3351543,False,False
202137,2021-09-12,554,AL,,27,state,237182,7076.80015,63,6136,5,0.0259,3351543,False,False
202136,2021-09-11,553,AL,,27,state,237119,7074.92042,116,6131,5,0.0259,3351543,False,False
202136,2021-09-10,552,AL,,27,state,237003,7071.45932,40,6126,5,0.0258,3351543,False,False
202136,2021-09-09,551,AL,,27,state,236963,7070.26584,82,6121,5,0.0258,3351543,False,False
202136,2021-09-08,550,AL,,27,state,236881,7067.81921,41,6116,5,0.0258,3351543,False,False
202136,2021-09-07,549,AL,,27,state,236840,7066.59589,63,6111,5,0.0258,3351543,False,False
202136,2021-09-06,548,AL,,27,state,236777,7064.71616,173,6106,5,0.0258,3351543,False,False
202136,2021-09-05,547,AL,,27,state,236604,7059.55436,181,6101,5,0.0258,3351543,False,False
202135,2021-09-04,546,AL,,27,state,236423,7054.15386,315,6096,6,0.0258,3351543,False,False
202135,2021-09-03,545,AL,,27,state,236108,7044.75521,111,6090,6,0.0258,3351543,False,False
202135,2021-09-02,544,AL,,27,state,235997,7041.4433,97,6084,6,0.0258,3351543,False,False
202135,2021-09-01,543,AL,,27,state,235900,7038.54911,126,6078,6,0.0258,3351543,False,False


