date,notification.hr
2016-01-01,761
2016-02-01,593
2016-03-01,572
2016-04-01,551
2016-05-01,546
2016-06-01,503
2016-07-01,370
2016-08-01,486
2016-09-01,822
2016-10-01,995
2016-11-01,822
2016-12-01,629
2017-01-01,1170
2017-02-01,1059
2017-03-01,1097
2017-04-01,682
2017-05-01,1126
2017-06-01,1168
2017-07-01,1423
2017-08-01,2166
2017-09-01,2208
2017-10-01,1746
2017-11-01,1505
2017-12-01,1154
2018-01-01,1384
2018-02-01,1112
2018-03-01,1046
2018-04-01,1078
2018-05-01,806
2018-06-01,749
2018-07-01,765
2018-08-01,1121
2018-09-01,970
2018-10-01,1129
2018-11-01,1152
2018-12-01,986
2019-01-01,1223
2019-02-01,827
2019-03-01,593
2019-04-01,679
2019-05-01,1135
2019-06-01,955
2019-07-01,915
2019-08-01,1199
2019-09-01,1415
2019-10-01,1582
2019-11-01,888
2019-12-01,465
